NO,KODE,NAMA,NIK,LISENSI,NO WA,ALAMAT,NAMA BANK,NO REKENING
1,WST001,Agus Nugroho Saputra,7371145804887493,Internasional,087888191485,"Jl. Imam Bonjol No. 195, Kel. Mekarjaya, Kec. Medan Baru, Denpasar, Bali (RT 14/RW 01)",Mandiri,7134074517133
2,WST002,Hafiz Anggraini,3578886704840973,Internasional,085384982544,"Jl. Flamboyan No. 174, Kel. Sukamaju, Kec. Wonokromo, Banjarmasin, Kalimantan Selatan (RT 05/RW 09)",Bank Jatim,7042232536729
3,WST003,Bima Laksana,3273911302054559,Internasional,085377590175,"Jl. Diponegoro No. 102, Kel. Mekarjaya, Kec. Medan Baru, Bandung, Jawa Barat (RT 13/RW 09)",Bank BJB,8454589297
4,WST004,Aisyah Amalia,1271224108002589,Regional,087806324241,"Jl. Merdeka No. 96, Kel. Taman Sari, Kec. Wonokromo, Yogyakarta, DI Yogyakarta (RT 05/RW 02)",BCA,1643611037
5,WST005,Dimas Hidayat,1671111112806920,Internasional,082171361115,"Jl. Ahmad Yani No. 36, Kel. Sumber Rejeki, Kec. Wonokromo, Yogyakarta, DI Yogyakarta (RT 15/RW 05)",Bank Syariah Indonesia,3189092753
6,WST006,Naufal Safitri,1275216503836292,Regional,087752341389,"Jl. Rajawali No. 73, Kel. Taman Sari, Kec. Cilandak, Banjarmasin, Kalimantan Selatan (RT 12/RW 10)",Bank BJB,5389836403
7,WST007,Agus Permana Utama,5171110506919313,Regional,085382710910,"Jl. Rajawali No. 16, Kel. Mekarjaya, Kec. Panakkukang, Makassar, Sulawesi Selatan (RT 04/RW 01)",BRI,966618892414183
8,WST008,Naufal Suryadi,7371996812934006,Nasional,087717990421,"Jl. Melati No. 180, Kel. Sukaraja, Kec. Ilir Barat I, Jakarta Selatan, DKI Jakarta (RT 12/RW 03)",BRI,688425241056481
9,WST009,Hendra Anggraini,1671680206969288,Nasional,085324191380,"Jl. Melati No. 63, Kel. Mekarjaya, Kec. Umbulharjo, Jakarta Selatan, DKI Jakarta (RT 14/RW 01)",BRI,722086353654195
10,WST010,Rafi Wibowo,3578380209051130,Regional,085245187053,"Jl. Pahlawan No. 190, Kel. Sukaraja, Kec. Ilir Barat I, Makassar, Sulawesi Selatan (RT 10/RW 05)",BCA,6973832060
11,WST011,Irfan Suryadi,3471101311045039,Nasional,082283670241,"Jl. Ahmad Yani No. 134, Kel. Taman Sari, Kec. Umbulharjo, Jakarta Selatan, DKI Jakarta (RT 15/RW 04)",BCA,8191826199
12,WST012,Rizky Ananda,1275472606885346,Regional,087843132912,"Jl. Gatot Subroto No. 120, Kel. Mekarjaya, Kec. Coblong, Bandung, Jawa Barat (RT 03/RW 08)",BNI,9537474112
